Oppenheimer;8.21;Drama;2023;Christopher Nolan;images\872585.jpg;The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.;19/07/2023
Five Nights at Freddy's;7.947;Horror;2023;Emma Tammi;images\507089.jpg;Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.;25/10/2023
The Creator;7.129;Science Fiction;2023;Gareth Edwards;images\670292.jpg;Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself.;27/09/2023
Mission: Impossible - Dead Reckoning Part One;7.592;Action;2023;Christopher McQuarrie;images\575264.jpg;Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.;8/07/2023
Expend4bles;6.42;Action;2023;Scott Waugh;images\299054.jpg;Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.;15/09/2023
Fast X;7.217;Action;2023;Louis Leterrier;images\385687.jpg;Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.;17/05/2023
The Equalizer 3;7.421;Action;2023;Antoine Fuqua;images\926393.jpg;Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.;30/08/2023
Sound of Freedom;8.084;Action;2023;Alejandro Gómez Monteverde;images\678512.jpg;The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.;3/07/2023
Saw X;7.413;Horror;2023;Kevin Greutert;images\951491.jpg;Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.;26/09/2023
Blue Beetle;7;Action;2023;Ángel Manuel Soto;images\565770.jpg;Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.;16/08/2023
The Killer;6.792;Crime;2023;David Fincher;images\800158.jpg;After a fateful near-miss, an assassin battles his employers, and himself, on an international manhunt he insists isn't personal.;25/10/2023
PAW Patrol: The Mighty Movie;6.941;Animation;2023;Cal Brunker;images\893723.jpg;A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups.;21/09/2023
Meg 2: The Trench;6.761;Action;2023;Ben Wheatley;images\615656.jpg;An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.;2/08/2023
Pet Sematary: Bloodlines;6.14;Horror;2023;Lindsey Anderson Beer;images\830764.jpg;In 1969, a young Jud Crandall has dreams of leaving his hometown of Ludlow, Maine behind, but soon discovers sinister secrets buried within and is forced to confront a dark family history that will forever keep him connected to Ludlow.;23/09/2023
Gran Turismo;7.987;Adventure;2023;Neill Blomkamp;images\980489.jpg;The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.;9/08/2023
The Black Book;6.544;Mystery;2023;Editi Effiong;images\1172009.jpg;After his son is wrongly accused of kidnapping, a deacon who has just lost his wife takes matters into his own hands and fights a crooked police gang to clear him.;22/09/2023
The Nun II;6.911;Horror;2023;Michael Chaves;images\968051.jpg;In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.;6/09/2023
Elemental;7.735;Animation;2023;Peter Sohn;images\976573.jpg;In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.;14/06/2023
Retribution;6.968;Action;2023;Nimród Antal;images\762430.jpg;When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks- all with his kids trapped in the back seat.;23/08/2023
Barbie;7.201;Comedy;2023;Greta Gerwig;images\346698.jpg;Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.;19/07/2023
Inside Out;7.92;Animation;2015;Pete Docter;images\150540.jpg;Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotions— Joy, Fear, Anger, Disgust and Sadness—live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.;9/06/2015
Spider-Man: Across the Spider-Verse;8.406;Animation;2023;Joaquim Dos Santos;images\569094.jpg;After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.;31/05/2023
Teenage Mutant Ninja Turtles: Mutant Mayhem;7.312;Animation;2023;Jeff Rowe;images\614930.jpg;After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.;31/07/2023
Transformers: Rise of the Beasts;7.458;Action;2023;Steven Caple Jr.;images\667538.jpg;When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.;6/06/2023
The Monkey King: Reborn;7.126;Animation;2021;Wang Yunfei;images\811634.jpg;When the irritable monkey king visits a temple together with his master Tang Monk, he feels offended because of a trifle and thereupon accidentally destroys a magic tree growing on the sacred ground. This brings an ancient demon king back to life, who promptly kidnaps Tang Monk to take revenge for his long imprisonment. The monkey king and his followers have only three days to not only save their master but also to prevent the demon king from regaining his full powers and destroying the world…;2/04/2021
The Super Mario Bros. Movie;7.753;Animation;2023;Michael Jelenic;images\502356.jpg;While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.;5/04/2023
After Everything;7.049;Romance;2023;Castille Landon;images\820525.jpg;Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment.;13/09/2023
The Exorcist: Believer;6.15;Horror;2023;David Gordon Green;images\807172.jpg;When two girls disappear into the woods and return three days later with no memory of what happened to them, the father of one girl seeks out Chris MacNeil, who's been forever altered by what happened to her daughter fifty years ago.;4/10/2023
Megalomaniac;6.2;Horror;2023;Karim Ouelhaj;images\841742.jpg;Felix and Martha, the two offspring of legendary serial murderer The Skinner of Mons, grapple with the grotesque legacy bequeathed to them. While Martha works a menial janitorial job, Felix continues his father's reign of terror. But following a brutal attack at work, Martha quickly descends into madness, finding she must come to terms with the infamous blood that flows through her veins.;8/09/2023
Muzzle;6.676;Action;2023;John Stalberg Jr.;images\939335.jpg;LAPD K-9 officer Jake Rosser has just witnessed the shocking murder of his dedicated partner by a mysterious assailant. As he investigates the shooter’s identity, he uncovers a vast conspiracy that has a chokehold on the city in this thrilling journey through the tangled streets of Los Angeles and the corrupt bureaucracy of the LAPD.;29/09/2023
My Fault;8.098;Drama;2023;Domingo González;images\1010581.jpg;Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.;8/06/2023
Boudica;6.222;Action;2023;Jesse V. Johnson;images\975902.jpg;Inspired by events in A.D. 60, Boudica follows the eponymous Celtic warrior who rules the Iceni people alongside her husband Prasutagus. When he dies at the hands of Roman soldiers, Boudica’s kingdom is left without a male heir and the Romans seize her land and property.  Driven to the edge of madness and determined to avenge her husband’s death, Boudica rallies the various tribes from the region and wages an epic war against the mighty Roman empire.;26/10/2023
The Baker;6.967;Action;2023;Jonathan Sobol;images\823395.jpg;A quiet, stoic man, lives a monk-like existence in self-imposed exile. When his estranged son is killed in a drug deal gone bad, he is left to look after a granddaughter he never knew existed, and he is forced back into a life he tried to put behind him.;27/07/2023
Trolls Band Together;6.5;Animation;2023;Walt Dohrn;images\901362.jpg;When Branch’s brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.;12/10/2023
Babylon A.D.;5.599;Action;2008;Mathieu Kassovitz;images\9381.jpg;A veteran-turned-mercenary is hired to take a young woman with a secret from post-apocalyptic Eastern Europe to New York City.;20/08/2008
Mavka: The Forest Song;7.257;Animation;2023;Oleksandra Ruban;images\459003.jpg;Forest soul Mavka faces an impossible choice between her heart and her duty as guardian to the Heart of the Forest, when she falls in love with the talented young human musician Lukas.;2/03/2023
John Wick: Chapter 4;7.796;Action;2023;Chad Stahelski;images\603692.jpg;With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.;22/03/2023
